,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,negMarketValue,dealAmount,turnoverRate,accumAdjFactor,turnoverValue,marketValue,isOpen,vwap
0,600519.XSHG,600519,贵州茅台,XSHG,2010-01-04,99.465,169.82,100.742,100.742,99.166,99.535,5896980,160389372000,5250.0,0.0047,0.5857083797,753405630,160389372000,1,99.6
1,600519.XSHG,600519,贵州茅台,XSHG,2010-01-05,99.535,169.94,100.15,100.449,98.985,99.242,4194404,159917472000,5495.0,0.0033,0.5857083797,535720416,159917472000,1,99.57
2,600519.XSHG,600519,贵州茅台,XSHG,2010-01-06,99.242,169.44,98.979,99.278,97.409,97.673,5309230,157388088000,9031.0,0.0042,0.5857083797,666073280,157388088000,1,97.803
3,600519.XSHG,600519,贵州茅台,XSHG,2010-01-07,97.673,166.76,97.673,97.925,94.814,95.892,6498681,154518936000,12042.0,0.0052,0.5857083797,801445250,154518936000,1,96.141
4,600519.XSHG,600519,贵州茅台,XSHG,2010-01-08,95.892,163.72,96.056,96.056,93.772,94.885,4885048,152895600000,8090.0,0.0039,0.5857083797,593162180,152895600000,1,94.659
5,600519.XSHG,600519,贵州茅台,XSHG,2010-01-11,94.885,162.0,95.822,96.583,94.006,94.469,3255763,152225502000,6683.0,0.0026,0.5857083797,395563872,152225502000,1,94.716
6,600519.XSHG,600519,贵州茅台,XSHG,2010-01-12,94.469,161.29,94.563,97.327,94.071,97.023,4134539,156340470000,9102.0,0.0033,0.5857083797,509373856,156340470000,1,96.044
7,600519.XSHG,600519,贵州茅台,XSHG,2010-01-13,97.023,165.65,96.05,96.73,94.299,94.557,5047743,152367072000,6651.0,0.004,0.5857083797,621261820,152367072000,1,95.948
8,600519.XSHG,600519,贵州茅台,XSHG,2010-01-14,94.557,161.44,94.885,99.102,94.885,98.715,6183113,159068052000,11327.0,0.0049,0.5857083797,775471620,159068052000,1,97.773
9,600519.XSHG,600519,贵州茅台,XSHG,2010-01-15,98.715,168.54,98.698,101.55,98.698,99.494,6114414,160323306000,9553.0,0.0049,0.5857083797,788328960,160323306000,1,100.511
10,600519.XSHG,600519,贵州茅台,XSHG,2010-01-18,99.494,169.87,99.57,100.894,99.512,100.144,2856530,161370924000,4931.0,0.0023,0.5857083797,368485888,161370924000,1,100.564
11,600519.XSHG,600519,贵州茅台,XSHG,2010-01-19,100.144,170.98,100.15,100.449,99.278,99.436,2371697,160228926000,3728.0,0.0019,0.5857083797,302797504,160228926000,1,99.53
12,600519.XSHG,600519,贵州茅台,XSHG,2010-01-20,99.436,169.77,99.518,99.658,97.11,97.181,2791500,156595296000,4439.0,0.0022,0.5857083797,353315680,156595296000,1,98.67
13,600519.XSHG,600519,贵州茅台,XSHG,2010-01-21,97.181,165.92,97.146,98.622,96.935,97.655,2296971,157359774000,4027.0,0.0018,0.5857083797,287779648,157359774000,1,97.671
14,600519.XSHG,600519,贵州茅台,XSHG,2010-01-22,97.655,166.73,97.579,97.983,94.82,96.132,3385124,154905894000,5951.0,0.0027,0.5857083797,416305088,154905894000,1,95.873
15,600519.XSHG,600519,贵州茅台,XSHG,2010-01-25,96.132,164.13,95.968,97.989,95.183,97.251,3093131,156708552000,4972.0,0.0025,0.5857083797,385581312,156708552000,1,97.18
16,600519.XSHG,600519,贵州茅台,XSHG,2010-01-26,97.251,166.04,98.557,99.67,96.408,97.638,4377547,157331460000,5866.0,0.0035,0.5857083797,553152640,157331460000,1,98.508
17,600519.XSHG,600519,贵州茅台,XSHG,2010-01-27,97.638,166.7,97.245,98.27,95.822,96.044,2571035,154764324000,4283.0,0.002,0.5857083797,320765888,154764324000,1,97.261
18,600519.XSHG,600519,贵州茅台,XSHG,2010-01-28,96.044,163.98,95.974,99.775,95.763,99.102,4028607,159690960000,6267.0,0.0032,0.5857083797,507716288,159690960000,1,98.248
19,600519.XSHG,600519,贵州茅台,XSHG,2010-01-29,99.102,169.2,99.541,99.688,98.212,98.715,4947702,159068052000,4348.0,0.0039,0.5857083797,628192900,159068052000,1,98.98
20,600519.XSHG,600519,贵州茅台,XSHG,2010-02-01,98.715,168.54,98.914,99.324,97.819,98.92,3947206,159398382000,4190.0,0.0031,0.5857083797,499867008,159398382000,1,98.724
21,600519.XSHG,600519,贵州茅台,XSHG,2010-02-02,98.92,168.89,98.399,99.57,97.397,97.532,2062189,157161576000,3895.0,0.0016,0.5857083797,260426288,157161576000,1,98.45
22,600519.XSHG,600519,贵州茅台,XSHG,2010-02-03,97.532,166.52,97.351,98.458,96.173,97.187,3065912,156604734000,3895.0,0.0024,0.5857083797,382974400,156604734000,1,97.38
23,600519.XSHG,600519,贵州茅台,XSHG,2010-02-04,97.187,165.93,97.169,99.131,96.718,98.75,2991466,159124680000,3893.0,0.0024,0.5857083797,376703456,159124680000,1,98.169
24,600519.XSHG,600519,贵州茅台,XSHG,2010-02-05,98.75,168.6,98.171,100.672,97.813,100.303,3491785,161625750000,3893.0,0.0028,0.5857083797,445744672,161625750000,1,99.517
25,600519.XSHG,600519,贵州茅台,XSHG,2010-02-08,100.303,171.25,100.303,102.85,99.875,100.291,4192131,161606874000,7341.0,0.0033,0.5857083797,548228610,161606874000,1,101.95
26,600519.XSHG,600519,贵州茅台,XSHG,2010-02-09,100.291,171.23,100.742,101.521,99.881,100.221,1883530,161493618000,2805.0,0.0015,0.5857083797,243172992,161493618000,1,100.647
27,600519.XSHG,600519,贵州茅台,XSHG,2010-02-10,100.221,171.11,100.742,101.087,99.98,100.642,851592,162173154000,2117.0,0.0007,0.5857083797,109830208,162173154000,1,100.542
28,600519.XSHG,600519,贵州茅台,XSHG,2010-02-11,100.642,171.83,100.625,102.171,100.508,101.55,1989186,163636044000,3125.0,0.0016,0.5857083797,259254544,163636044000,1,101.604
29,600519.XSHG,600519,贵州茅台,XSHG,2010-02-12,101.55,173.38,101.896,102.03,100.859,101.38,1244006,163362342000,2390.0,0.001,0.5857083797,161899968,163362342000,1,101.457
30,600519.XSHG,600519,贵州茅台,XSHG,2010-02-22,101.38,173.09,101.328,101.386,99.026,99.032,1620902,159577704000,2827.0,0.0013,0.5857083797,207127840,159577704000,1,99.619
31,600519.XSHG,600519,贵州茅台,XSHG,2010-02-23,99.032,169.08,99.131,99.863,96.466,97.667,3136120,157378650000,4531.0,0.0025,0.5857083797,391601216,157378650000,1,97.344
32,600519.XSHG,600519,贵州茅台,XSHG,2010-02-24,97.667,166.75,97.673,98.75,96.935,98.352,1318258,158482896000,2872.0,0.001,0.5857083797,165405136,158482896000,1,97.816
33,600519.XSHG,600519,贵州茅台,XSHG,2010-02-25,98.352,167.92,97.755,99.57,97.755,98.545,2038288,158794350000,3219.0,0.0016,0.5857083797,258220832,158794350000,1,98.761
34,600519.XSHG,600519,贵州茅台,XSHG,2010-02-26,98.545,168.25,98.973,98.973,97.579,97.72,1376065,157463592000,3071.0,0.0011,0.5857083797,173028880,157463592000,1,98.026
35,600519.XSHG,600519,贵州茅台,XSHG,2010-03-01,97.72,166.84,97.491,98.077,97.222,97.368,2892894,156897312000,4913.0,0.0023,0.5857083797,361550336,156897312000,1,97.431
36,600519.XSHG,600519,贵州茅台,XSHG,2010-03-02,97.368,166.24,97.585,97.69,96.583,96.993,2286955,156293280000,4590.0,0.0018,0.5857083797,284524256,156293280000,1,96.989
37,600519.XSHG,600519,贵州茅台,XSHG,2010-03-03,96.993,165.6,97.222,97.368,96.601,97.028,1894394,156349908000,3651.0,0.0015,0.5857083797,235470736,156349908000,1,96.901
38,600519.XSHG,600519,贵州茅台,XSHG,2010-03-04,97.028,165.66,97.239,97.725,96.056,96.724,1885890,155859132000,4248.0,0.0015,0.5857083797,234440688,155859132000,1,96.912
39,600519.XSHG,600519,贵州茅台,XSHG,2010-03-05,96.724,165.14,96.73,96.905,96.22,96.296,1300460,155170158000,2850.0,0.001,0.5857083797,160821088,155170158000,1,96.406
40,600519.XSHG,600519,贵州茅台,XSHG,2010-03-08,96.296,164.41,96.337,96.63,95.353,95.576,3095831,154009284000,4886.0,0.0025,0.5857083797,380034368,154009284000,1,95.698
41,600519.XSHG,600519,贵州茅台,XSHG,2010-03-09,95.576,163.18,95.588,95.88,95.295,95.57,1642583,153999846000,3480.0,0.0013,0.5857083797,201437824,153999846000,1,95.603
42,600519.XSHG,600519,贵州茅台,XSHG,2010-03-10,95.57,163.17,95.629,95.88,95.412,95.857,1572451,154462308000,2806.0,0.0013,0.5857083797,192984032,154462308000,1,95.676
43,600519.XSHG,600519,贵州茅台,XSHG,2010-03-11,95.857,163.66,95.974,96.32,95.224,95.476,1799320,153848838000,3281.0,0.0014,0.5857083797,220769888,153848838000,1,95.651
44,600519.XSHG,600519,贵州茅台,XSHG,2010-03-12,95.476,163.01,95.482,95.863,94.645,94.838,1622791,152820096000,2872.0,0.0013,0.5857083797,197699616,152820096000,1,94.974
45,600519.XSHG,600519,贵州茅台,XSHG,2010-03-15,94.838,161.92,94.832,94.832,92.483,92.952,2104113,149781060000,4896.0,0.0017,0.5857083797,251338912,149781060000,1,93.122
46,600519.XSHG,600519,贵州茅台,XSHG,2010-03-16,92.952,158.7,92.952,93.508,92.483,93.092,1033406,150007572000,2185.0,0.0008,0.5857083797,123284712,150007572000,1,93.003
47,600519.XSHG,600519,贵州茅台,XSHG,2010-03-17,93.092,158.94,93.116,94.053,93.069,94.012,2490425,151489338000,3369.0,0.002,0.5857083797,298972352,151489338000,1,93.587
48,600519.XSHG,600519,贵州茅台,XSHG,2010-03-18,94.012,160.51,94.053,94.516,92.395,92.782,1960113,149507358000,4661.0,0.0016,0.5857083797,234364032,149507358000,1,93.211
49,600519.XSHG,600519,贵州茅台,XSHG,2010-03-19,92.782,158.41,93.057,93.327,92.542,92.987,1778433,149837688000,2762.0,0.0014,0.5857083797,212046432,149837688000,1,92.951
50,600519.XSHG,600519,贵州茅台,XSHG,2010-03-22,92.987,158.76,93.268,93.479,92.354,92.542,3062426,149120400000,4646.0,0.0024,0.5857083797,364454784,149120400000,1,92.776
